fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,fase,estadio
2016-09-13,Bayern Munich,Atletico Madrid,1,1,Grupos,Allianz Arena
2016-09-13,Barcelona,Celtic,7,0,Grupos,Camp Nou
2016-09-14,Real Madrid,Sporting Lisboa,2,1,Grupos,Santiago Bernabéu
2016-09-14,Manchester City,Borussia Mönchengladbach,3,1,Grupos,Etihad Stadium
2016-10-04,Atletico Madrid,Bayern Munich,1,0,Grupos,Vicente Calderon
2016-10-04,Celtic,Barcelona,0,2,Grupos,Celtic Park
2016-10-25,Barcelona,Sporting Lisboa,3,0,Octavos,Camp Nou
2016-10-26,Real Madrid,Napoli,3,1,Octavos,Santiago Bernabéu
2017-02-21,Juventus,Porto,2,0,Octavos,Juventus Stadium
2017-02-22,Bayern Munich,Arsenal,5,1,Octavos,Allianz Arena
2017-04-04,Barcelona,Paris Saint Germain,6,1,Cuartos,Camp Nou
2017-04-05,Real Madrid,Juventus,3,0,Cuartos,Santiago Bernabéu
2017-04-25,Real Madrid,Atletico Madrid,3,0,Semifinal,Santiago Bernabéu
2017-04-26,Monaco,Juventus,2,2,Semifinal,Louis II
2017-06-03,Real Madrid,Juventus,4,1,Final,Millennium Stadium
