fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,fase,estadio
2010-09-14,Bayern Munich,Roma,2,1,Grupos,Allianz Arena
2010-09-14,Barcelona,Milan,3,1,Grupos,Camp Nou
2010-09-15,Real Madrid,Ajax,6,2,Grupos,Santiago Bernabéu
2010-09-15,Manchester United,Valencia,1,1,Grupos,Old Trafford
2010-10-05,Valencia,Manchester United,2,1,Grupos,Mestalla
2010-10-05,Ajax,Real Madrid,1,3,Grupos,Amsterdam Arena
2010-10-26,Roma,Bayern Munich,1,2,Grupos,Olimpico
2010-10-26,Milan,Barcelona,1,2,Grupos,San Siro
2010-11-23,Barcelona,Real Madrid,1,2,Octavos,Camp Nou
2010-11-30,Chelsea,Copenhagen,2,1,Octavos,Stamford Bridge
2011-02-22,Manchester United,Marseille,1,0,Octavos,Old Trafford
2011-02-23,Bayern Munich,Inter Milan,1,2,Octavos,Allianz Arena
2011-04-05,Barcelona,Paris Saint Germain,2,0,Cuartos,Camp Nou
2011-04-06,Manchester United,Chelsea,1,0,Cuartos,Old Trafford
2011-04-27,Manchester United,Schalke,2,0,Semifinal,Old Trafford
2011-04-26,Barcelona,Real Madrid,2,0,Semifinal,Camp Nou
2011-05-28,Barcelona,Manchester United,3,1,Final,Wembley
