fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,fase,estadio
2019-09-17,Bayern Munich,Tottenham,2,7,Grupos,Allianz Arena
2019-09-17,Barcelona,PSV,4,0,Grupos,Camp Nou
2019-09-18,Real Madrid,Paris Saint Germain,3,0,Grupos,Santiago Bernabéu
2019-09-18,Juventus,Atletico Madrid,2,0,Grupos,Juventus Stadium
2019-10-01,Tottenham,Bayern Munich,1,3,Grupos,Tottenham Hotspur Stadium
2019-10-01,PSV,Barcelona,1,1,Grupos,Philips Stadion
2019-10-23,Barcelona,Inter Milan,2,1,Octavos,Camp Nou
2019-10-24,Real Madrid,Manchester City,1,2,Octavos,Santiago Bernabéu
2020-02-18,Juventus,Lyon,1,0,Octavos,Juventus Stadium
2020-02-19,Bayern Munich,Chelsea,3,0,Octavos,Allianz Arena
2020-08-07,Barcelona,Bayern Munich,2,8,Cuartos,Estadio da Luz
2020-08-08,PSG,Atalanta,2,0,Cuartos,Parc des Princes
2020-08-18,Bayern Munich,Lyon,3,0,Semifinal,Estadio da Luz
2020-08-19,PSG,RB Leipzig,3,0,Semifinal,Estadio da Luz
2020-08-23,Bayern Munich,PSG,1,0,Final,Estadio da Luz
